Ticker,
OMC,Advertising
IPG,Advertising
GD,
NOC,
HII,
TXT,
LMT,
LHX,
RTX,
HWM,
GE,
TDG,
DE,Agricultural & Farm Machinery
ADM,Agricultural Products & Services
BG,Agricultural Products & Services
FDX,
UPS,
CHRW,
EXPD,
TJX,Apparel Retail
ROST,Apparel Retail
TPR,
LULU,
NKE,
RL,
PLTR,
TYL,
ADBE,
ANSS,
CDNS,
INTU,
WDAY,
ADSK,
FICO,
PTC,
ORCL,
CRM,
SNPS,
BK,
NTRS,
STT,
IVZ,
TROW,
AMP,
BLK,
BEN,
BX,
KKR,
GM,
F,
TSLA,
APTV,Automotive Parts & Equipment
AZO,
ORLY,
KMX,
BIIB,
REGN,
GILD,
AMGN,
ABBV,
INCY,
TAP,Brewers
FOXA,Broadcasting
FOX,Broadcasting
EBAY,Broadline Retail
AMZN,Broadline Retail
CARR,
MAS,
AOS,
BLDR,
ALLE,
JCI,
LII,
TT,
CHTR,Cable & Satellite
CMCSA,Cable & Satellite
JBHT,Cargo Ground Transportation
ODFL,Cargo Ground Transportation
MGM,
LVS,
WYNN,
DOW,Commodity Chemicals
CSCO,
FFIV,
JNPR,
MSI,
ANET,
BBY,Computer & Electronics Retail
J,Construction & Engineering
PWR,Construction & Engineering
PCAR,
CAT,
CMI,
WAB,
MLM,Construction Materials
VMC,Construction Materials
GRMN,Consumer Electronics
COF,
AXP,
SYF,
DG,
DLTR,
TGT,
WMT,
COST,
FCX,Copper
DLR,Data Center REITs
EQIX,Data Center REITs
BR,Data Processing & Outsourced Services
BF.B,Distillers & Vintners
LKQ,
GPC,
POOL,
TFC,
USB,
JPM,
C,
WFC,
BAC,
PNC,
LDOS,
CTAS,
CPRT,
EVRG,
EXC,
AEP,
DUK,
LNT,
WEC,
ETR,
FE,
PEG,
SO,
VST,
EIX,
PPL,
ES,
CEG,
GNRC,
AME,
ETN,
EMR,
ROK,
APH,Electronic Components
GLW,Electronic Components
TRMB,
TDY,
ZBRA,
KEYS,
ROP,
TEL,Electronic Manufacturing Services
JBL,Electronic Manufacturing Services
WM,
RSG,
ROL,
CF,
CTVA,
MOS,
CME,
FDS,
NDAQ,
MKTX,
ICE,
MCO,
SPGI,
MSCI,
COIN,
SYY,Food Distributors
KR,Food Retail
DECK,Footwear
ATO,Gas Utilities
NEM,Gold
CAH,
COR,
HSIC,
MCK,
ABT,
EW,
ZBH,
HOLX,
RMD,
BDX,
MDT,
BSX,
STE,
SYK,
RVTY,
PODD,
IDXX,
ISRG,
DXCM,
HCA,Health Care Facilities
UHS,Health Care Facilities
WELL,
VTR,
DOC,
CI,
CVS,
DVA,
DGX,
LH,
ALGN,
WST,
COO,
MHK,Home Furnishings
LOW,Home Improvement Retail
HD,Home Improvement Retail
NVR,
DHI,
LEN,
PHM,
WSM,Homefurnishing Retail
VICI,Hotel & Resort REITs
HST,Hotel & Resort REITs
CCL,
EXPE,
NCLH,
RCL,
BKNG,
ABNB,
MAR,
HLT,
KMB,
CLX,
CL,
CHD,
ADP,
PAYX,
PAYC,
AES,Independent Power Producers & Energy Traders
NRG,Independent Power Producers & Energy Traders
MMM,Industrial Conglomerates
HON,Industrial Conglomerates
LIN,Industrial Gases
APD,Industrial Gases
SNA,
DOV,
HUBB,
NDSN,
ITW,
PH,
GWW,
FTV,
IEX,
OTIS,
XYL,
PNR,
SWK,
IR,
PLD,Industrial REITs
MMC,
AON,
BRO,
AJG,
ERIE,
CVX,
XOM,
HES,
T,Integrated Telecommunication Services
VZ,Integrated Telecommunication Services
EA,Interactive Home Entertainment
GOOGL,
GOOG,
MTCH,
META,
VRSN,
AKAM,
GDDY,
GS,
MS,
RJF,
SCHW,
CTSH,
IBM,
ACN,
IT,
EPAM,
HAS,Leisure Products
AFL,
MET,
PFG,
PRU,
GL,
IQV,
TMO,
A,
MTD,
WAT,
DHR,
TECH,
MOH,
HUM,
UNH,
CNC,
BALL,"Metal, Glass & Plastic Containers"
DIS,
TKO,
NFLX,
LYV,
MAA,
AVB,
EQR,
ESS,
CPT,
UDR,
L,Multi-line Insurance
AIZ,Multi-line Insurance
BRK.B,Multi-Sector Holdings
DTE,
ED,
PCG,
PNW,
SRE,
XEL,
AEE,
NI,
CMS,
D,
CNP,
NEE,
ARE,Office REITs
BKR,
SLB,
HAL,
COP,
EOG,
OXY,
CTRA,
APA,
DVN,
FANG,
EQT,
TPL,
MPC,
PSX,
VLO,
OKE,
KMI,
WMB,
TRGP,
IRM,Other Specialized REITs
ULTA,Other Specialty Retail
TSCO,Other Specialty Retail
GIS,
KHC,
K,
HSY,
HRL,
MDLZ,
TSN,
CPB,
LW,
CAG,
MKC,
AMCR,
AVY,
PKG,
IP,
DAL,
UAL,
LUV,
UBER,Passenger Ground Transportation
PG,Personal Care Products
JNJ,
PFE,
BMY,
MRK,
ZTS,
LLY,
PGR,
WRB,
CB,
CINF,
HIG,
TRV,
ACGL,
NWSA,Publishing
NWS,Publishing
CSX,
NSC,
UNP,
CSGP,Real Estate Services
CBRE,Real Estate Services
FITB,
HBAN,
MTB,
RF,
CFG,
EG,Reinsurance
VRSK,Research & Consulting Services
EFX,Research & Consulting Services
DRI,
MCD,
YUM,
SBUX,
DPZ,
CMG,
SPG,
FRT,
KIM,
O,
REG,
PSA,Self-Storage REITs
EXR,Self-Storage REITs
AMAT,
LRCX,
TER,
KLAC,
ENPH,
MPWR,
QCOM,
FSLR,
AVGO,
MU,
NXPI,
ADI,
TXN,
SWKS,
ON,
AMD,
NVDA,
INVH,Single-Family Residential REITs
PEP,
KO,
KDP,
MNST,
DASH,Specialized Consumer Services
LYB,
EMN,
PPG,
SHW,
ECL,
STLD,Steel
NUE,Steel
GEN,
MSFT,
NOW,
FTNT,
PANW,
CDW,Technology Distributors
STX,
HPQ,
NTAP,
WDC,
HPE,
AAPL,
SMCI,
SBAC,Telecom Tower REITs
AMT,Telecom Tower REITs
WY,Timber REITs
MO,Tobacco
PM,Tobacco
URI,Trading Companies & Distributors
FAST,Trading Companies & Distributors
GPN,
PYPL,
CPAY,
JKHY,
FI,
V,
MA,
FIS,
AWK,Water Utilities
TMUS,Wireless Telecommunication Services